model-1600436283,1600436347.194,0.8,0.1748,0.74,0.1775
model-1600436283,1600436348.266,0.83,0.1335,0.73,0.1779
model-1600436283,1600436349.245,0.75,0.1808,0.7,0.1886
model-1600436283,1600436350.204,0.86,0.1158,0.71,0.1846
model-1600436283,1600436351.247,0.75,0.1644,0.81,0.1393
model-1600436283,1600436352.255,0.83,0.1313,0.76,0.1709
model-1600436283,1600436353.214,0.83,0.1398,0.73,0.1587
model-1600436283,1600436353.284,0.8,0.1323,0.73,0.1687
model-1600436283,1600436354.262,0.77,0.1635,0.8,0.1464
model-1600436283,1600436355.348,0.69,0.1851,0.79,0.1597
model-1600436283,1600436356.387,0.83,0.1125,0.65,0.2213
model-1600436283,1600436357.495,0.77,0.15,0.78,0.1387
model-1600436283,1600436358.551,0.81,0.1511,0.8,0.1475
model-1600436283,1600436359.568,0.88,0.0995,0.6,0.2623
model-1600436283,1600436360.606,0.8,0.1527,0.68,0.2019
model-1600436283,1600436361.614,0.8,0.1585,0.73,0.1771
model-1600436283,1600436362.652,0.83,0.1266,0.71,0.181
model-1600436283,1600436363.646,0.75,0.1713,0.74,0.1594
model-1600436283,1600436364.613,0.84,0.1168,0.74,0.1925
model-1600436283,1600436365.582,0.78,0.1323,0.81,0.1396
model-1600436283,1600436366.57,0.78,0.1366,0.71,0.194
model-1600436283,1600436367.545,0.81,0.1492,0.74,0.1466
model-1600436283,1600436367.633,0.78,0.1257,0.77,0.1604
model-1600436283,1600436368.629,0.78,0.1682,0.74,0.1785
model-1600436283,1600436369.58,0.73,0.1724,0.78,0.1469
model-1600436283,1600436370.576,0.86,0.1076,0.86,0.1308
model-1600436283,1600436371.57,0.75,0.1571,0.75,0.1766
model-1600436283,1600436372.497,0.8,0.1519,0.74,0.176
model-1600436283,1600436373.485,0.88,0.0861,0.79,0.1539
model-1600436283,1600436374.483,0.78,0.1457,0.66,0.2164
model-1600436283,1600436375.508,0.84,0.1408,0.73,0.1656
model-1600436283,1600436376.456,0.84,0.1206,0.71,0.198
model-1600436283,1600436377.472,0.8,0.1665,0.74,0.1763
model-1600436283,1600436378.593,0.84,0.1044,0.75,0.169
model-1600436283,1600436379.57,0.83,0.1269,0.8,0.1346
model-1600436283,1600436380.548,0.86,0.1137,0.78,0.1528
model-1600436283,1600436381.498,0.83,0.1471,0.71,0.1857
model-1600436283,1600436381.571,0.77,0.1156,0.75,0.1574
model-1600436283,1600436382.535,0.77,0.1495,0.84,0.1185
model-1600436283,1600436383.474,0.75,0.1708,0.82,0.1128
model-1600436283,1600436384.591,0.84,0.0891,0.72,0.1849
model-1600436283,1600436385.56,0.83,0.1355,0.81,0.1203
model-1600436283,1600436386.534,0.83,0.1419,0.75,0.1583
model-1600436283,1600436387.519,0.91,0.067,0.74,0.1813
model-1600436283,1600436388.484,0.81,0.129,0.74,0.1657
model-1600436283,1600436389.489,0.83,0.1462,0.75,0.1648
model-1600436283,1600436390.525,0.83,0.1214,0.77,0.1674
model-1600436283,1600436391.636,0.75,0.1522,0.74,0.1833
model-1600436283,1600436392.674,0.83,0.1051,0.82,0.1384
model-1600436283,1600436393.706,0.8,0.1373,0.79,0.1672
model-1600436283,1600436394.72,0.88,0.1038,0.77,0.1346
model-1600436283,1600436395.755,0.85,0.1319,0.75,0.1586
model-1600436283,1600436395.846,0.8,0.1185,0.74,0.1898
model-1600436283,1600436396.841,0.78,0.143,0.78,0.1523
model-1600436283,1600436397.855,0.75,0.1448,0.77,0.1538
model-1600436283,1600436398.873,0.89,0.0827,0.73,0.162
model-1600436283,1600436399.902,0.81,0.1269,0.8,0.149
model-1600436283,1600436401.006,0.84,0.1351,0.76,0.1583
model-1600436283,1600436402.074,0.91,0.0639,0.77,0.1611
model-1600436283,1600436403.222,0.83,0.1293,0.75,0.1676
model-1600436283,1600436404.321,0.88,0.1201,0.73,0.176
model-1600436283,1600436405.402,0.83,0.1183,0.74,0.1779
model-1600436283,1600436406.391,0.78,0.1469,0.72,0.1799
model-1600436283,1600436407.441,0.91,0.0972,0.77,0.1851
model-1600436283,1600436408.491,0.77,0.1588,0.72,0.2128
model-1600436283,1600436409.557,0.86,0.0987,0.82,0.1335
model-1600436283,1600436410.594,0.73,0.1931,0.75,0.1666
model-1600436283,1600436410.684,0.84,0.127,0.65,0.2052
model-1600436283,1600436411.707,0.8,0.1342,0.78,0.1621
model-1600436283,1600436412.781,0.77,0.1258,0.82,0.1355
model-1600436283,1600436413.784,0.88,0.0866,0.73,0.1933
model-1600436283,1600436414.856,0.84,0.1169,0.77,0.1597
model-1600436283,1600436415.918,0.83,0.1211,0.73,0.182
model-1600436283,1600436416.936,0.94,0.0571,0.76,0.1549
model-1600436283,1600436417.921,0.89,0.0883,0.78,0.1639
model-1600436283,1600436419.096,0.86,0.1186,0.8,0.1557
model-1600436283,1600436420.054,0.86,0.1077,0.76,0.1838
model-1600436283,1600436421.086,0.8,0.1455,0.8,0.1436
model-1600436283,1600436422.037,0.86,0.0951,0.85,0.1248
model-1600436283,1600436423.008,0.73,0.1706,0.74,0.1989
model-1600436283,1600436423.942,0.86,0.1002,0.79,0.1592
model-1600436283,1600436424.938,0.81,0.1558,0.65,0.2412
model-1600436283,1600436425.027,0.84,0.1201,0.76,0.1887
model-1600436283,1600436426.038,0.84,0.1233,0.81,0.1438
model-1600436283,1600436427.106,0.83,0.1117,0.76,0.1675
model-1600436283,1600436428.167,0.92,0.0737,0.81,0.1552
model-1600436283,1600436429.162,0.84,0.1168,0.81,0.1233
model-1600436283,1600436430.16,0.84,0.1218,0.74,0.1848
model-1600436283,1600436431.153,0.91,0.0638,0.82,0.1393
model-1600436283,1600436432.184,0.88,0.0968,0.79,0.1584
model-1600436283,1600436433.264,0.83,0.1107,0.72,0.2033
model-1600436283,1600436434.236,0.83,0.1324,0.76,0.1581
model-1600436283,1600436435.219,0.7,0.1895,0.74,0.1907
model-1600436283,1600436436.171,0.84,0.1033,0.76,0.1618
model-1600436283,1600436437.162,0.8,0.1409,0.77,0.1593
model-1600436283,1600436438.158,0.88,0.0986,0.73,0.1869
model-1600436283,1600436439.099,0.88,0.1177,0.82,0.1367
model-1600436283,1600436439.181,0.84,0.1159,0.75,0.1949
model-1600436283,1600436440.193,0.88,0.1028,0.69,0.2175
model-1600436283,1600436441.17,0.8,0.1298,0.76,0.1942
model-1600436283,1600436442.179,0.92,0.0797,0.75,0.1887
model-1600436283,1600436443.197,0.88,0.1067,0.76,0.1756
model-1600436283,1600436444.234,0.84,0.1171,0.77,0.1501
model-1600436283,1600436445.271,0.95,0.0542,0.79,0.1576
